Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Fuzzy chance of admit,Difference
1,337,118,4,4.5,4.5,9.65,1,0.92,0.91,0.010000000000000009
2,324,107,4,4.0,4.5,8.87,1,0.76,0.9,0.14
3,316,104,3,3.0,3.5,8.0,1,0.72,0.89,0.17000000000000004
4,322,110,3,3.5,2.5,8.67,1,0.8,0.69,0.1100000000000001
5,314,103,2,2.0,3.0,8.21,0,0.65,0.51,0.14
6,330,115,5,4.5,3.0,9.34,1,0.9,0.9,0.0
7,321,109,3,3.0,4.0,8.2,1,0.75,0.89,0.14
8,308,101,2,3.0,4.0,7.9,0,0.68,0.5,0.18000000000000005
9,302,102,1,2.0,1.5,8.0,0,0.5,0.54,0.040000000000000036
10,323,108,3,3.5,3.0,8.6,0,0.45,0.52,0.07
11,325,106,3,3.5,4.0,8.4,1,0.52,0.89,0.37
12,327,111,4,4.0,4.5,9.0,1,0.84,0.9,0.06000000000000005
13,328,112,4,4.0,4.5,9.1,1,0.78,0.9,0.12
14,307,109,3,4.0,3.0,8.0,1,0.62,0.89,0.27
15,311,104,3,3.5,2.0,8.2,1,0.61,0.57,0.040000000000000036
16,314,105,3,3.5,2.5,8.3,0,0.54,0.51,0.030000000000000027
17,317,107,3,4.0,3.0,8.7,0,0.66,0.53,0.13
18,319,106,3,4.0,3.0,8.0,1,0.65,0.89,0.24
19,318,110,3,4.0,3.0,8.8,0,0.63,0.53,0.09999999999999998
20,303,102,3,3.5,3.0,8.5,0,0.62,0.52,0.09999999999999998
21,312,107,3,3.0,2.0,7.9,1,0.64,0.56,0.07999999999999996
22,325,114,4,3.0,2.0,8.4,0,0.7,0.52,0.17999999999999994
23,328,116,5,5.0,5.0,9.5,1,0.94,0.91,0.029999999999999916
24,334,119,5,5.0,4.5,9.7,1,0.95,0.91,0.039999999999999925
25,336,119,5,4.0,3.5,9.8,1,0.97,0.91,0.05999999999999994
26,340,120,5,4.5,4.5,9.6,1,0.94,0.91,0.029999999999999916
27,322,109,5,4.5,3.5,8.8,0,0.76,0.53,0.22999999999999998
28,298,98,2,1.5,2.5,7.5,1,0.44,0.5,0.06
29,295,93,1,2.0,2.0,7.2,0,0.46,0.54,0.08000000000000002
30,310,99,2,1.5,2.0,7.3,0,0.54,0.48,0.06000000000000005
31,300,97,2,3.0,3.0,8.1,1,0.65,0.89,0.24
32,327,103,3,4.0,4.0,8.3,1,0.74,0.89,0.15000000000000002
33,338,118,4,3.0,4.5,9.4,1,0.91,0.91,0.0
34,340,114,5,4.0,4.0,9.6,1,0.9,0.91,0.010000000000000009
35,331,112,5,4.0,5.0,9.8,1,0.94,0.91,0.029999999999999916
36,320,110,5,5.0,5.0,9.2,1,0.88,0.9,0.020000000000000018
37,299,106,2,4.0,4.0,8.4,0,0.64,0.52,0.12
38,300,105,1,1.0,2.0,7.8,0,0.58,0.54,0.039999999999999925
39,304,105,1,3.0,1.5,7.5,0,0.52,0.54,0.020000000000000018
40,307,108,2,4.0,3.5,7.7,0,0.48,0.49,0.010000000000000009
41,308,110,3,3.5,3.0,8.0,1,0.46,0.89,0.43
42,316,105,2,2.5,2.5,8.2,1,0.49,0.67,0.18000000000000005
43,313,107,2,2.5,2.0,8.5,1,0.53,0.58,0.04999999999999993
44,332,117,4,4.5,4.0,9.1,0,0.87,0.54,0.32999999999999996
45,326,113,5,4.5,4.0,9.4,1,0.91,0.91,0.0
46,322,110,5,5.0,4.0,9.1,1,0.88,0.9,0.020000000000000018
47,329,114,5,4.0,5.0,9.3,1,0.86,0.9,0.040000000000000036
48,339,119,5,4.5,4.0,9.7,0,0.89,0.54,0.35
49,321,110,3,3.5,5.0,8.85,1,0.82,0.9,0.08000000000000007
50,327,111,4,3.0,4.0,8.4,1,0.78,0.89,0.10999999999999999
51,313,98,3,2.5,4.5,8.3,1,0.76,0.67,0.08999999999999997
52,312,100,2,1.5,3.5,7.9,1,0.56,0.51,0.050000000000000044
53,334,116,4,4.0,3.0,8.0,1,0.78,0.89,0.10999999999999999
54,324,112,4,4.0,2.5,8.1,1,0.72,0.67,0.04999999999999993
55,322,110,3,3.0,3.5,8.0,0,0.7,0.5,0.19999999999999996
56,320,103,3,3.0,3.0,7.7,0,0.64,0.49,0.15000000000000002
57,316,102,3,2.0,3.0,7.4,0,0.64,0.47,0.17000000000000004
58,298,99,2,4.0,2.0,7.6,0,0.46,0.48,0.019999999999999962
59,300,99,1,3.0,2.0,6.8,1,0.36,0.61,0.25
60,311,104,2,2.0,2.0,8.3,0,0.42,0.51,0.09000000000000002
61,309,100,2,3.0,3.0,8.1,0,0.48,0.51,0.030000000000000027
62,307,101,3,4.0,3.0,8.2,0,0.47,0.51,0.040000000000000036
63,304,105,2,3.0,3.0,8.2,1,0.54,0.89,0.35
64,315,107,2,4.0,3.0,8.5,1,0.56,0.89,0.32999999999999996
65,325,111,3,3.0,3.5,8.7,0,0.52,0.53,0.010000000000000009
66,325,112,4,3.5,3.5,8.92,0,0.55,0.53,0.020000000000000018
67,327,114,3,3.0,3.0,9.02,0,0.61,0.53,0.07999999999999996
68,316,107,2,3.5,3.5,8.64,1,0.57,0.9,0.33000000000000007
69,318,109,3,3.5,4.0,9.22,1,0.68,0.9,0.21999999999999997
70,328,115,4,4.5,4.0,9.16,1,0.78,0.9,0.12
71,332,118,5,5.0,5.0,9.64,1,0.94,0.91,0.029999999999999916
72,336,112,5,5.0,5.0,9.76,1,0.96,0.91,0.04999999999999993
73,321,111,5,5.0,5.0,9.45,1,0.93,0.91,0.020000000000000018
74,314,108,4,4.5,4.0,9.04,1,0.84,0.9,0.06000000000000005
75,314,106,3,3.0,5.0,8.9,0,0.74,0.53,0.20999999999999996
76,329,114,2,2.0,4.0,8.56,1,0.72,0.59,0.13
77,327,112,3,3.0,3.0,8.72,1,0.74,0.9,0.16000000000000003
78,301,99,2,3.0,2.0,8.22,0,0.64,0.51,0.13
79,296,95,2,3.0,2.0,7.54,1,0.44,0.55,0.11000000000000004
80,294,93,1,1.5,2.0,7.36,0,0.46,0.54,0.08000000000000002
81,312,105,3,2.0,3.0,8.02,1,0.5,0.57,0.06999999999999995
82,340,120,4,5.0,5.0,9.5,1,0.96,0.91,0.04999999999999993
83,320,110,5,5.0,4.5,9.22,1,0.92,0.9,0.020000000000000018
84,322,115,5,4.0,4.5,9.36,1,0.92,0.9,0.020000000000000018
85,340,115,5,4.5,4.5,9.45,1,0.94,0.91,0.029999999999999916
86,319,103,4,4.5,3.5,8.66,0,0.76,0.52,0.24
87,315,106,3,4.5,3.5,8.42,0,0.72,0.52,0.19999999999999996
88,317,107,2,3.5,3.0,8.28,0,0.66,0.51,0.15000000000000002
89,314,108,3,4.5,3.5,8.14,0,0.64,0.51,0.13
90,316,109,4,4.5,3.5,8.76,1,0.74,0.9,0.16000000000000003
91,318,106,2,4.0,4.0,7.92,1,0.64,0.88,0.24
92,299,97,3,5.0,3.5,7.66,0,0.38,0.48,0.09999999999999998
93,298,98,2,4.0,3.0,8.03,0,0.34,0.5,0.15999999999999998
94,301,97,2,3.0,3.0,7.88,1,0.44,0.88,0.44
95,303,99,3,2.0,2.5,7.66,0,0.36,0.48,0.12
96,304,100,4,1.5,2.5,7.84,0,0.42,0.49,0.07
97,306,100,2,3.0,3.0,8.0,0,0.48,0.5,0.020000000000000018
98,331,120,3,4.0,4.0,8.96,1,0.86,0.9,0.040000000000000036
99,332,119,4,5.0,4.5,9.24,1,0.9,0.9,0.0
100,323,113,3,4.0,4.0,8.88,1,0.79,0.9,0.10999999999999999
101,322,107,3,3.5,3.5,8.46,1,0.71,0.89,0.18000000000000005
102,312,105,2,2.5,3.0,8.12,0,0.64,0.51,0.13
103,314,106,2,4.0,3.5,8.25,0,0.62,0.51,0.10999999999999999
104,317,104,2,4.5,4.0,8.47,0,0.57,0.52,0.04999999999999993
105,326,112,3,3.5,3.0,9.05,1,0.74,0.9,0.16000000000000003
106,316,110,3,4.0,4.5,8.78,1,0.69,0.9,0.21000000000000008
107,329,111,4,4.5,4.5,9.18,1,0.87,0.9,0.030000000000000027
108,338,117,4,3.5,4.5,9.46,1,0.91,0.91,0.0
109,331,116,5,5.0,5.0,9.38,1,0.93,0.91,0.020000000000000018
110,304,103,5,5.0,4.0,8.64,0,0.68,0.52,0.16000000000000003
111,305,108,5,3.0,3.0,8.48,0,0.61,0.52,0.08999999999999997
112,321,109,4,4.0,4.0,8.68,1,0.69,0.9,0.21000000000000008
113,301,107,3,3.5,3.5,8.34,1,0.62,0.89,0.27
114,320,110,2,4.0,3.5,8.56,0,0.72,0.52,0.19999999999999996
115,311,105,3,3.5,3.0,8.45,1,0.59,0.89,0.30000000000000004
116,310,106,4,4.5,4.5,9.04,1,0.66,0.9,0.24
117,299,102,3,4.0,3.5,8.62,0,0.56,0.52,0.040000000000000036
118,290,104,4,2.0,2.5,7.46,0,0.45,0.47,0.019999999999999962
119,296,99,2,3.0,3.5,7.28,0,0.47,0.48,0.010000000000000009
120,327,104,5,3.0,3.5,8.84,1,0.71,0.9,0.19000000000000006
121,335,117,5,5.0,5.0,9.56,1,0.94,0.91,0.029999999999999916
122,334,119,5,4.5,4.5,9.48,1,0.94,0.91,0.029999999999999916
123,310,106,4,1.5,2.5,8.36,0,0.57,0.51,0.05999999999999994
124,308,108,3,3.5,3.5,8.22,0,0.61,0.51,0.09999999999999998
125,301,106,4,2.5,3.0,8.47,0,0.57,0.52,0.04999999999999993
126,300,100,3,2.0,3.0,8.66,1,0.64,0.59,0.050000000000000044
127,323,113,3,4.0,3.0,9.32,1,0.85,0.9,0.050000000000000044
128,319,112,3,2.5,2.0,8.71,1,0.78,0.59,0.19000000000000006
129,326,112,3,3.5,3.0,9.1,1,0.84,0.9,0.06000000000000005
130,333,118,5,5.0,5.0,9.35,1,0.92,0.9,0.020000000000000018
131,339,114,5,4.0,4.5,9.76,1,0.96,0.91,0.04999999999999993
132,303,105,5,5.0,4.5,8.65,0,0.77,0.52,0.25
133,309,105,5,3.5,3.5,8.56,0,0.71,0.52,0.18999999999999995
134,323,112,5,4.0,4.5,8.78,0,0.79,0.53,0.26
135,333,113,5,4.0,4.0,9.28,1,0.89,0.9,0.010000000000000009
136,314,109,4,3.5,4.0,8.77,1,0.82,0.9,0.08000000000000007
137,312,103,3,5.0,4.0,8.45,0,0.76,0.52,0.24
138,316,100,2,1.5,3.0,8.16,1,0.71,0.52,0.18999999999999995
139,326,116,2,4.5,3.0,9.08,1,0.8,0.9,0.09999999999999998
140,318,109,1,3.5,3.5,9.12,0,0.78,0.54,0.24
141,329,110,2,4.0,3.0,9.15,1,0.84,0.9,0.06000000000000005
142,332,118,2,4.5,3.5,9.36,1,0.9,0.9,0.0
143,331,115,5,4.0,3.5,9.44,1,0.92,0.91,0.010000000000000009
144,340,120,4,4.5,4.0,9.92,1,0.97,0.91,0.05999999999999994
145,325,112,2,3.0,3.5,8.96,1,0.8,0.9,0.09999999999999998
146,320,113,2,2.0,2.5,8.64,1,0.81,0.59,0.22000000000000008
147,315,105,3,2.0,2.5,8.48,0,0.75,0.52,0.22999999999999998
148,326,114,3,3.0,3.0,9.11,1,0.83,0.9,0.07000000000000006
149,339,116,4,4.0,3.5,9.8,1,0.96,0.91,0.04999999999999993
150,311,106,2,3.5,3.0,8.26,1,0.79,0.89,0.09999999999999998
151,334,114,4,4.0,4.0,9.43,1,0.93,0.91,0.020000000000000018
152,332,116,5,5.0,5.0,9.28,1,0.94,0.9,0.039999999999999925
153,321,112,5,5.0,5.0,9.06,1,0.86,0.9,0.040000000000000036
154,324,105,3,3.0,4.0,8.75,0,0.79,0.53,0.26
155,326,108,3,3.0,3.5,8.89,0,0.8,0.53,0.27
156,312,109,3,3.0,3.0,8.69,0,0.77,0.53,0.24
157,315,105,3,2.0,2.5,8.34,0,0.7,0.51,0.18999999999999995
158,309,104,2,2.0,2.5,8.26,0,0.65,0.51,0.14
159,306,106,2,2.0,2.5,8.14,0,0.61,0.51,0.09999999999999998
160,297,100,1,1.5,2.0,7.9,0,0.52,0.54,0.020000000000000018
161,315,103,1,1.5,2.0,7.86,0,0.57,0.54,0.029999999999999916
162,298,99,1,1.5,3.0,7.46,0,0.53,0.54,0.010000000000000009
163,318,109,3,3.0,3.0,8.5,0,0.67,0.52,0.15000000000000002
164,317,105,3,3.5,3.0,8.56,0,0.68,0.52,0.16000000000000003
165,329,111,4,4.5,4.0,9.01,1,0.81,0.9,0.08999999999999997
166,322,110,5,4.5,4.0,8.97,0,0.78,0.53,0.25
167,302,102,3,3.5,5.0,8.33,0,0.65,0.51,0.14
168,313,102,3,2.0,3.0,8.27,0,0.64,0.51,0.13
169,293,97,2,2.0,4.0,7.8,1,0.64,0.56,0.07999999999999996
170,311,99,2,2.5,3.0,7.98,0,0.65,0.5,0.15000000000000002
171,312,101,2,2.5,3.5,8.04,1,0.68,0.66,0.020000000000000018
172,334,117,5,4.0,4.5,9.07,1,0.89,0.9,0.010000000000000009
173,322,110,4,4.0,5.0,9.13,1,0.86,0.9,0.040000000000000036
174,323,113,4,4.0,4.5,9.23,1,0.89,0.9,0.010000000000000009
175,321,111,4,4.0,4.0,8.97,1,0.87,0.9,0.030000000000000027
176,320,111,4,4.5,3.5,8.87,1,0.85,0.9,0.050000000000000044
177,329,119,4,4.5,4.5,9.16,1,0.9,0.9,0.0
178,319,110,3,3.5,3.5,9.04,0,0.82,0.53,0.2899999999999999
179,309,108,3,2.5,3.0,8.12,0,0.72,0.51,0.20999999999999996
180,307,102,3,3.0,3.0,8.27,0,0.73,0.51,0.21999999999999997
181,300,104,3,3.5,3.0,8.16,0,0.71,0.51,0.19999999999999996
182,305,107,2,2.5,2.5,8.42,0,0.71,0.52,0.18999999999999995
183,299,100,2,3.0,3.5,7.88,0,0.68,0.5,0.18000000000000005
184,314,110,3,4.0,4.0,8.8,0,0.75,0.53,0.21999999999999997
185,316,106,2,2.5,4.0,8.32,0,0.72,0.51,0.20999999999999996
186,327,113,4,4.5,4.5,9.11,1,0.89,0.9,0.010000000000000009
187,317,107,3,3.5,3.0,8.68,1,0.84,0.9,0.06000000000000005
188,335,118,5,4.5,3.5,9.44,1,0.93,0.91,0.020000000000000018
189,331,115,5,4.5,3.5,9.36,1,0.93,0.9,0.030000000000000027
190,324,112,5,5.0,5.0,9.08,1,0.88,0.9,0.020000000000000018
191,324,111,5,4.5,4.0,9.16,1,0.9,0.9,0.0
192,323,110,5,4.0,5.0,8.98,1,0.87,0.9,0.030000000000000027
193,322,114,5,4.5,4.0,8.94,1,0.86,0.9,0.040000000000000036
194,336,118,5,4.5,5.0,9.53,1,0.94,0.91,0.029999999999999916
195,316,109,3,3.5,3.0,8.76,0,0.77,0.53,0.24
196,307,107,2,3.0,3.5,8.52,1,0.78,0.89,0.10999999999999999
197,306,105,2,3.0,2.5,8.26,0,0.73,0.51,0.21999999999999997
198,310,106,2,3.5,2.5,8.33,0,0.73,0.51,0.21999999999999997
199,311,104,3,4.5,4.5,8.43,0,0.7,0.52,0.17999999999999994
200,313,107,3,4.0,4.5,8.69,0,0.72,0.53,0.18999999999999995
201,317,103,3,2.5,3.0,8.54,1,0.73,0.68,0.04999999999999993
